id,transcript,cefr,situation,focus_areas,length_sec,patterns
clip-practice-033,"He's gotta find it",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-034,"They gotta tell you",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-035,"I gotta check this",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-036,"You should've told me earlier",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-037,"I should've called you yesterday",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-038,"She should've sent me the file",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-039,"We should've asked him first",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-040,"He should've checked the schedule last week",A2,work_meetings,"weak_forms,reductions",6,"should've"
clip-practice-041,"They should've joined the meeting sooner",A2,work_meetings,"weak_forms,reductions",6,"should've"
clip-practice-042,"You should've read the email before",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-043,"I could've helped if you asked",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-044,"You could've come if you knew",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-045,"She could've done it faster",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-046,"We could've made it on time",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-047,"He could've told us sooner",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-048,"They could've found it easily",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-049,"I could've fixed it myself yesterday",A2,daily,"weak_forms,reductions",6,"could've"
clip-practice-050,"We're gonna have to catch the train",A2,travel,"connected_speech,reductions",5,"gonna,weak_to"
clip-practice-051,"You're gonna have to book a hotel",A2,travel,"connected_speech,reductions",5,"gonna,weak_to"
clip-practice-052,"I'm gonna have to pack my bags",A2,travel,"connected_speech,reductions",5,"gonna,weak_to"
clip-practice-053,"They're gonna have to check the map",A2,travel,"connected_speech,reductions",5,"gonna,weak_to"
clip-practice-054,"She's gonna have to find the gate",A2,travel,"connected_speech,reductions",5,"gonna,weak_to"
clip-practice-055,"He's gonna have to wait in line",A2,travel,"connected_speech,reductions",5,"gonna,weak_to"
clip-practice-056,"We're gonna have to change planes",A2,travel,"connected_speech,reductions",5,"gonna,weak_to"
clip-practice-057,"Didja see that episode?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-058,"Didja watch that movie?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-059,"Didja hear that song?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-060,"Didja read that article?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-061,"Didja try that game?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-062,"Didja like that show?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-063,"Didja finish that book?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-064,"It's kind of hard to hear",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-065,"It's kind of easy to miss",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-066,"It's kind of fun to try",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-067,"It's kind of nice to know",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-068,"It's kind of sad to see",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-069,"It's kind of cool to learn",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-070,"It's kind of weird to say",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-071,"We would've finished if we'd started",B1,work_meetings,"weak_forms,reductions",6,"would've,we'd"
clip-practice-072,"We would've known if we'd checked",B1,work_meetings,"weak_forms,reductions",6,"would've,we'd"
clip-practice-073,"We would've won if we'd tried",B1,work_meetings,"weak_forms,reductions",6,"would've,we'd"
clip-practice-074,"We would've made it if we'd left",B1,work_meetings,"weak_forms,reductions",6,"would've,we'd"
clip-practice-075,"I'm supposed to meet her but I'm late",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-076,"I'm supposed to call him but I forgot",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-077,"I'm supposed to be there but I'm stuck",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-078,"I'm supposed to finish this but I can't",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-079,"You're gonna need to check in before the flight",B1,travel,"connected_speech,reductions",6,"gonna,weak_to"
clip-practice-080,"You're gonna need to pack before we leave",B1,travel,"connected_speech,reductions",6,"gonna,weak_to"
clip-practice-081,"You're gonna need to book before it's full",B1,travel,"connected_speech,reductions",6,"gonna,weak_to"
clip-practice-082,"You're gonna need to hurry before it closes",B1,travel,"connected_speech,reductions",6,"gonna,weak_to"
clip-practice-083,"I can't keep up when people talk fast",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-084,"I can't keep up when there's no subtitles",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-085,"I can't keep up when they use slang",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-086,"I can't keep up when it's too noisy",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-087,"I shoulda told you I was gonna be late",B1,general,"reductions,connected_speech",6,"shoulda,gonna,weak_to"
clip-practice-088,"I shoulda known you were gonna call",B1,general,"reductions,connected_speech",6,"shoulda,gonna,weak_to"
clip-practice-089,"I shoulda asked if you were gonna come",B1,general,"reductions,connected_speech",6,"shoulda,gonna,weak_to"
clip-practice-090,"I shoulda said I was gonna need help",B1,general,"reductions,connected_speech",6,"shoulda,gonna,weak_to"
clip-practice-091,"I would've told you I was gonna be there if I'd known you were waiting",B2,work_meetings,"weak_forms,reductions,connected_speech",8,"would've,gonna,weak_to,I'd"
clip-practice-092,"We should've been able to finish the project if we'd had more time to work on it",B2,work_meetings,"weak_forms,reductions,connected_speech",9,"should've,weak_to,we'd"
clip-practice-093,"I'm gonna have to tell him I can't make it to the meeting because I gotta finish this report first",B2,daily,"connected_speech,reductions,weak_forms",10,"gonna,weak_to,gotta"
clip-practice-094,"You shoulda known I was gonna need your help when I told you I couldn't do it by myself",B2,daily,"reductions,connected_speech,weak_forms",10,"shoulda,gonna,weak_to"
clip-practice-095,"We're gonna have to check in before we can board the plane and we should've done it online earlier",B2,travel,"connected_speech,reductions,weak_forms",11,"gonna,weak_to,should've"
clip-practice-096,"Didja see how fast they were talking in that interview? I could barely keep up with what they were saying",B2,travel,"connected_speech,reductions,weak_forms",10,"didja,weak_to"
clip-practice-097,"I wanna watch that new show everyone's talking about but I gotta finish this first before I can start watching anything",B2,videos_shows,"connected_speech,reductions,weak_forms",11,"wanna,gotta,weak_to"
clip-practice-098,"It's kind of hard to understand when they're speaking so fast and using all those contractions and reductions",B2,videos_shows,"weak_forms,linking,reductions",10,"weak_to"
clip-practice-099,"I shoulda told you I was gonna be late but I didn't think you'd be waiting for me this long",B2,general,"reductions,connected_speech,weak_forms",10,"shoulda,gonna,weak_to,you'd"
clip-practice-100,"We would've finished the whole thing if we'd started earlier but we're gonna have to do it tomorrow now",B2,general,"weak_forms,reductions,connected_speech",10,"would've,we'd,gonna,weak_to"
clip-practice-101,"I'm gonna order some pizza",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-102,"You're gonna enjoy the party",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-103,"We're gonna watch the game",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-104,"She's gonna bring the files",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-105,"He's gonna park the car",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-106,"They're gonna join us later",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-107,"I'm gonna prepare the presentation",A1,work_meetings,"connected_speech,reductions",5,"gonna"
clip-practice-108,"You're gonna attend the conference",A1,work_meetings,"connected_speech,reductions",5,"gonna"
clip-practice-109,"We're gonna discuss the project",A1,work_meetings,"connected_speech,reductions",5,"gonna"
clip-practice-110,"She's gonna submit the report",A1,work_meetings,"connected_speech,reductions",5,"gonna"
clip-practice-111,"He's gonna approve the budget",A1,work_meetings,"connected_speech,reductions",5,"gonna"
clip-practice-112,"They're gonna schedule the meeting",A1,work_meetings,"connected_speech,reductions",5,"gonna"
clip-practice-113,"I'm gonna sign the contract",A1,work_meetings,"connected_speech,reductions",5,"gonna"
clip-practice-114,"You're gonna handle the client",A1,work_meetings,"connected_speech,reductions",5,"gonna"
clip-practice-115,"I'm gonna cook some dinner",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-116,"You're gonna clean the house",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-117,"We're gonna visit the park",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-118,"She's gonna walk the dog",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-119,"He's gonna fix the bike",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-120,"They're gonna play outside",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-121,"I'm gonna wash the dishes",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-122,"You're gonna feed the cat",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-123,"We're gonna study together",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-124,"She's gonna call her friend",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-125,"He's gonna exercise this morning",A1,daily,"connected_speech,reductions",5,"gonna"
clip-practice-126,"They're gonna have breakfast",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-127,"I'm gonna relax this evening",A1,daily,"connected_speech,reductions",5,"gonna"
clip-practice-128,"You're gonna help with chores",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-129,"We're gonna visit the museum",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-130,"You're gonna explore the city",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-131,"They're gonna rent a car",A1,travel,"connected_speech,reductions",4,"gonna"
clip-practice-132,"I'm gonna book the hotel",A1,travel,"connected_speech,reductions",4,"gonna"
clip-practice-133,"She's gonna pack her suitcase",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-134,"He's gonna check the weather",A1,travel,"connected_speech,reductions",4,"gonna"
clip-practice-135,"We're gonna take some photos",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-136,"I'm gonna try local food",A1,travel,"connected_speech,reductions",4,"gonna"
clip-practice-137,"You're gonna see the sights",A1,travel,"connected_speech,reductions",4,"gonna"
clip-practice-138,"They're gonna learn the language",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-139,"I'm gonna meet new people",A1,travel,"connected_speech,reductions",4,"gonna"
clip-practice-140,"She's gonna enjoy the trip",A1,travel,"connected_speech,reductions",4,"gonna"
clip-practice-141,"He's gonna remember this vacation",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-142,"We're gonna have a great time",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-143,"I wanna listen to that podcast",A1,videos_shows,"connected_speech,reductions",5,"wanna"
clip-practice-144,"You wanna download that app",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-145,"We wanna stream that series",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-146,"She's gonna subscribe to that channel",A1,videos_shows,"connected_speech,reductions",5,"gonna"
clip-practice-147,"He's gonna follow that creator",A1,videos_shows,"connected_speech,reductions",5,"gonna"
clip-practice-148,"They wanna share that video",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-149,"I wanna comment on that post",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-150,"You wanna like that content",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-151,"We wanna discover new music",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-152,"She's gonna watch the premiere",A1,videos_shows,"connected_speech,reductions",4,"gonna"
clip-practice-153,"He's gonna review that episode",A1,videos_shows,"connected_speech,reductions",4,"gonna"
clip-practice-154,"They wanna discuss the plot",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-155,"I wanna recommend that show",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-156,"You wanna binge that series",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-157,"I gotta wake up early",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-158,"You gotta be careful",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-159,"We gotta work together",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-160,"She's gotta study harder",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-161,"He's gotta practice more",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-162,"They gotta hurry up",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-163,"I gotta remember that",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-164,"You gotta believe me",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-165,"We gotta stay focused",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-166,"She's gotta keep trying",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-167,"He's gotta make a decision",A1,general,"connected_speech,reductions",5,"gotta"
clip-practice-168,"They gotta understand this",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-169,"I gotta figure it out",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-170,"You gotta trust the process",A1,general,"connected_speech,reductions",4,"gotta"
clip-practice-171,"I should've brought my jacket",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-172,"You could've taken the bus",A2,work_meetings,"weak_forms,reductions",5,"could've"
clip-practice-173,"We would've stayed longer if we'd known",A2,work_meetings,"weak_forms,reductions",6,"would've,we'd"
clip-practice-174,"She should've saved the document",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-175,"They could've helped with the project",A2,work_meetings,"weak_forms,reductions",5,"could've"
clip-practice-176,"I should've prepared better",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-177,"You could've asked for help",A2,work_meetings,"weak_forms,reductions",5,"could've"
clip-practice-178,"We would've finished on time",A2,work_meetings,"weak_forms,reductions",5,"would've"
clip-practice-179,"She should've double-checked the numbers",A2,work_meetings,"weak_forms,reductions",6,"should've"
clip-practice-180,"He could've sent it earlier",A2,work_meetings,"weak_forms,reductions",5,"could've"
clip-practice-181,"They would've completed the task",A2,work_meetings,"weak_forms,reductions",5,"would've"
clip-practice-182,"I should've attended the training",A2,work_meetings,"weak_forms,reductions",5,"should've"
clip-practice-183,"You could've shared your ideas",A2,work_meetings,"weak_forms,reductions",5,"could've"
clip-practice-184,"We would've made progress",A2,work_meetings,"weak_forms,reductions",5,"would've"
clip-practice-185,"I should've bought groceries yesterday",A2,daily,"weak_forms,reductions",5,"should've"
clip-practice-186,"You could've cooked dinner earlier",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-187,"We would've gone out if it wasn't raining",A2,daily,"weak_forms,reductions",6,"would've"
clip-practice-188,"She should've called me last night",A2,daily,"weak_forms,reductions",5,"should've"
clip-practice-189,"He could've fixed it himself",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-190,"They would've arrived on time",A2,daily,"weak_forms,reductions",5,"would've"
clip-practice-191,"I should've set the alarm",A2,daily,"weak_forms,reductions",4,"should've"
clip-practice-192,"You could've reminded me",A2,daily,"weak_forms,reductions",4,"could've"
clip-practice-193,"We would've had more fun",A2,daily,"weak_forms,reductions",5,"would've"
clip-practice-194,"She should've taken a break",A2,daily,"weak_forms,reductions",5,"should've"
clip-practice-195,"He could've saved some money",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-196,"They would've enjoyed the party",A2,daily,"weak_forms,reductions",5,"would've"
clip-practice-197,"I should've planned ahead",A2,daily,"weak_forms,reductions",4,"should've"
clip-practice-198,"You could've been more careful",A2,daily,"weak_forms,reductions",5,"could've"
clip-practice-199,"We would've avoided the problem",A2,daily,"weak_forms,reductions",5,"would've"
clip-practice-200,"I should've booked the flight earlier",A2,travel,"weak_forms,reductions",6,"should've"
clip-practice-201,"You could've packed lighter",A2,travel,"weak_forms,reductions",4,"could've"
clip-practice-202,"We would've seen more places",A2,travel,"weak_forms,reductions",5,"would've"
clip-practice-203,"She should've checked the weather",A2,travel,"weak_forms,reductions",5,"should've"
clip-practice-204,"He could've learned some phrases",A2,travel,"weak_forms,reductions",5,"could've"
clip-practice-205,"They would've stayed longer",A2,travel,"weak_forms,reductions",5,"would've"
clip-practice-206,"I should've brought a map",A2,travel,"weak_forms,reductions",4,"should've"
clip-practice-207,"You could've taken more photos",A2,travel,"weak_forms,reductions",5,"could've"
clip-practice-208,"We would've tried more food",A2,travel,"weak_forms,reductions",5,"would've"
clip-practice-209,"She should've made reservations",A2,travel,"weak_forms,reductions",5,"should've"
clip-practice-210,"He could've asked for directions",A2,travel,"weak_forms,reductions",5,"could've"
clip-practice-211,"They would've enjoyed it more",A2,travel,"weak_forms,reductions",5,"would've"
clip-practice-212,"I should've researched the culture",A2,travel,"weak_forms,reductions",5,"should've"
clip-practice-213,"You could've saved more money",A2,travel,"weak_forms,reductions",5,"could've"
clip-practice-214,"We would've had better weather",A2,travel,"weak_forms,reductions",5,"would've"
clip-practice-215,"Didja notice that detail?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-216,"Didja catch that reference?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-217,"Didja understand the ending?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-218,"Didja enjoy the soundtrack?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-219,"Didja follow the storyline?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-220,"Didja recognize that actor?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-221,"Didja appreciate the cinematography?",A2,videos_shows,"connected_speech,reductions",5,"didja"
clip-practice-222,"Didja get the joke?",A2,videos_shows,"connected_speech,reductions",3,"didja"
clip-practice-223,"Didja miss that episode?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-224,"Didja skip the intro?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-225,"Didja pause to think?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-226,"Didja rewind that scene?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-227,"Didja share it with friends?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-228,"Didja rate it online?",A2,videos_shows,"connected_speech,reductions",4,"didja"
clip-practice-229,"It's kind of difficult to follow",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-230,"It's kind of important to remember",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-231,"It's kind of necessary to practice",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-232,"It's kind of useful to know",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-233,"It's kind of helpful to ask",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-234,"It's kind of better to wait",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-235,"It's kind of worse to rush",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-236,"It's kind of safer to check",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-237,"It's kind of smarter to plan",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-238,"It's kind of faster to drive",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-239,"It's kind of cheaper to walk",A2,general,"weak_forms,linking",5,"weak_to"
clip-practice-240,"It's kind of easier to understand",A2,general,"weak_forms,linking",6,"weak_to"
clip-practice-241,"We would've completed the report if we'd had more resources",B1,work_meetings,"weak_forms,reductions",7,"would've,we'd"
clip-practice-242,"I should've been able to finish if I'd started earlier",B1,work_meetings,"weak_forms,reductions",7,"should've,weak_to,I'd"
clip-practice-243,"You could've avoided the mistake if you'd asked questions",B1,work_meetings,"weak_forms,reductions",7,"could've,you'd"
clip-practice-244,"They would've succeeded if they'd worked together",B1,work_meetings,"weak_forms,reductions",6,"would've,they'd"
clip-practice-245,"She should've known better if she'd read the instructions",B1,work_meetings,"weak_forms,reductions",7,"should've,she'd"
clip-practice-246,"He could've made progress if he'd focused more",B1,work_meetings,"weak_forms,reductions",6,"could've,he'd"
clip-practice-247,"We would've solved it if we'd thought differently",B1,work_meetings,"weak_forms,reductions",6,"would've,we'd"
clip-practice-248,"I should've communicated better if I'd known it was urgent",B1,work_meetings,"weak_forms,reductions",8,"should've,I'd"
clip-practice-249,"I'm supposed to meet them but I'm running late",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-250,"You're supposed to call back but you forgot",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-251,"We're supposed to be there but we got lost",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-252,"She's supposed to help but she's busy",B1,daily,"weak_forms,reductions",5,"weak_to"
clip-practice-253,"He's supposed to arrive but he's stuck in traffic",B1,daily,"weak_forms,reductions",7,"weak_to"
clip-practice-254,"They're supposed to visit but they canceled",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-255,"I'm supposed to remember but I can't",B1,daily,"weak_forms,reductions",5,"weak_to"
clip-practice-256,"You're supposed to understand but it's confusing",B1,daily,"weak_forms,reductions",6,"weak_to"
clip-practice-257,"You're gonna need to arrive early before the tour starts",B1,travel,"connected_speech,reductions",7,"gonna,weak_to"
clip-practice-258,"I'm gonna have to exchange money before we can shop",B1,travel,"connected_speech,reductions",7,"gonna,weak_to"
clip-practice-259,"We're gonna need to validate tickets before boarding",B1,travel,"connected_speech,reductions",6,"gonna,weak_to"
clip-practice-260,"She's gonna have to show her passport before entering",B1,travel,"connected_speech,reductions",7,"gonna,weak_to"
clip-practice-261,"He's gonna need to confirm the reservation before checking in",B1,travel,"connected_speech,reductions",7,"gonna,weak_to"
clip-practice-262,"They're gonna have to wait in line before getting seats",B1,travel,"connected_speech,reductions",7,"gonna,weak_to"
clip-practice-263,"You're gonna need to download the app before using the service",B1,travel,"connected_speech,reductions",8,"gonna,weak_to"
clip-practice-264,"I'm gonna have to learn some phrases before the trip",B1,travel,"connected_speech,reductions",6,"gonna,weak_to"
clip-practice-265,"I can't keep up when the dialogue moves too quickly",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-266,"I can't keep up when there are too many characters",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-267,"I can't keep up when the plot gets complicated",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-268,"I can't keep up when they speak in accents",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-269,"I can't keep up when the sound quality is poor",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-270,"I can't keep up when there are background noises",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-271,"I can't keep up when the subtitles don't match",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-272,"I can't keep up when they use technical terms",B1,videos_shows,"weak_forms,linking",6,"weak_to"
clip-practice-273,"I shoulda known you were gonna need help when you started the project",B1,general,"reductions,connected_speech",8,"shoulda,gonna,weak_to"
clip-practice-274,"I shoulda realized I was gonna be late when I saw the traffic",B1,general,"reductions,connected_speech",8,"shoulda,gonna,weak_to"
clip-practice-275,"I shoulda told them I was gonna miss the deadline",B1,general,"reductions,connected_speech",7,"shoulda,gonna,weak_to"
clip-practice-276,"I shoulda asked if you were gonna be available tomorrow",B1,general,"reductions,connected_speech",7,"shoulda,gonna,weak_to"
clip-practice-277,"I shoulda mentioned I was gonna need more time",B1,general,"reductions,connected_speech",7,"shoulda,gonna,weak_to"
clip-practice-278,"I shoulda warned you I was gonna be busy this week",B1,general,"reductions,connected_speech",7,"shoulda,gonna,weak_to"
clip-practice-279,"I shoulda explained I was gonna have to reschedule",B1,general,"reductions,connected_speech",7,"shoulda,gonna,weak_to"
clip-practice-280,"I shoulda confirmed I was gonna attend the meeting",B1,general,"reductions,connected_speech",7,"shoulda,gonna,weak_to"
clip-practice-281,"I would've been able to finish the presentation if I'd known you were gonna need it by Friday",B2,work_meetings,"weak_forms,reductions,connected_speech",11,"would've,weak_to,I'd,gonna"
clip-practice-282,"We should've been prepared to handle the client's request if we'd realized how urgent it was gonna be",B2,work_meetings,"weak_forms,reductions,connected_speech",12,"should've,weak_to,we'd,gonna,weak_to"
clip-practice-283,"You could've avoided the whole situation if you'd just told me you were gonna be unavailable when I needed your help",B2,work_meetings,"weak_forms,reductions,connected_speech",13,"could've,you'd,gonna,weak_to"
clip-practice-284,"They would've completed the entire project on time if they'd known we were gonna have to present it to the board",B2,work_meetings,"weak_forms,reductions,connected_speech",13,"would've,they'd,gonna,weak_to"
clip-practice-285,"I'm gonna have to tell her I can't make it to dinner because I gotta finish this assignment and I'm supposed to submit it tomorrow",B2,daily,"connected_speech,reductions,weak_forms",13,"gonna,weak_to,gotta,weak_to"
